id,old_name,new_name,link
-1003800119707,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴7️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+4llpep6r9mEyY2Nh
-1003750774457,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵0️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+gtamxTe-C-84OWJh
-1003857764698,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴4️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+d4GkQ_ab1jhiY2Fh
-1003300660689,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴9️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+CQFwbuo56-82MzU5
-1003342112934,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅵4️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+msFySb0TdBwyMDQx
-1003177899631,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴5️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+O2B-Mzp8lbFiZDEx
-1003808835736,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+U9xrlmgK40FlZjdh
-1003877813980,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅳2️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+30mmARzx79kyNzRh
-1003823016289,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅳3️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+3r601_GtZNhjYTVh
-1003891291833,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅳1️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+BgxSdD-ccmExNmEx
-1003785593247,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅴0️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+_S-ic2ZmBxVkYTlh
-1003766155025,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅳6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+jCckgqxxQNdlYTBh
-1003817172815,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅲5️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+_gnXG7IR1F03MjUx
-1003365596582,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅱️6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+Nt1s86SolCg1MWJh
-1002940339337,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 00 ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+wg0MlRIQmbA1MDQx
-1003489031617,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅰️3️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+_qH32y7jHZk1ZDQ5
-1001703477686,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅰️5️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+ohtk-uymOjMxYjYx
-1001469418142,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ,,https://t.me/+TUBYwhvr-jxiMDVk
-1002008732287,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅰️6️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+NPXA8JFmo85hNmQx
-1001947328960,🕵🏽‍♂️ ＣＯＮＳＵＬＴΛＳ ＧＲΛＴＩＳ 🅲1️⃣ ⚡️ 〘 🅿️🆄🆇🅰️ 🅵🅰️🅲🅸🅻 〙,,https://t.me/+z0nWE17-NyI5YjUx
-5125782392,🕵️‍♂️ 𝗩Λ𝗥𝗥𝗘𝗗𝗨𝗥Λ 𝗚𝗥Λ́𝗧𝗜𝗦 ⚡️ 〘 𝗜Λ 𝗗𝗘𝗧𝗘𝗧𝗜𝗩𝗘 〙,,https://t.me/+2p_aEcVbb8tjMDUx
